"protein","relationship_type","go_term","namespace","never_annotate"
"BSU_36860","inferred_from_descendant","GO:0046390","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0008324","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0009199","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0044271","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0110165","cellular_component","true"
"BSU_36860","inferred_from_descendant","GO:0006163","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0008152","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0022890","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0009165","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0044237","biological_process","true"
"BSU_36860","inferred_from_descendant","GO:0044238","biological_process","true"
"BSU_36860","inferred_from_descendant","GO:0022857","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0006139","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:1901564","biological_process","true"
"BSU_36860","inferred_from_descendant","GO:0022803","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0051179","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0016874","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0006796","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:1901135","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0015075","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0005216","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0009205","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0009144","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0003674","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0005575","cellular_component","false"
"BSU_36860","inferred_from_descendant","GO:0005215","molecular_function","true"
"BSU_36860","inferred_from_descendant","GO:0009201","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0005215","molecular_function","true"
"BSU_36800","inferred_from_descendant","GO:0032559","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0030554","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0036094","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0006796","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0008152","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0090407","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0043168","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0046034","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0044281","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009199","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:1901360","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009152","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0033178","cellular_component","false"
"BSU_36800","inferred_from_descendant","GO:0032553","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:1901362","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0051179","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0046390","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0000166","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0016874","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0044238","biological_process","true"
"BSU_36800","inferred_from_descendant","GO:0009201","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009260","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009117","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0035639","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0071704","biological_process","true"
"BSU_36800","inferred_from_descendant","GO:0009150","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0017076","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0006807","biological_process","true"
"BSU_36800","inferred_from_descendant","GO:0022803","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0015318","molecular_function","true"
"BSU_36800","inferred_from_descendant","GO:0044271","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0072521","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0019693","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0015267","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0015078","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0003824","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0046483","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0022890","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:1901564","biological_process","true"
"BSU_36800","inferred_from_descendant","GO:0015075","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0006793","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0032555","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:1901137","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0005261","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0034220","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009142","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009058","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0008324","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0098662","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0005488","molecular_function","true"
"BSU_36800","inferred_from_descendant","GO:0018130","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0055085","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0097159","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0019637","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0055086","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0034641","biological_process","true"
"BSU_36800","inferred_from_descendant","GO:1901135","biological_process","false"
"BSU_36800","part_of","GO:0045261","cellular_component","false"
"BSU_36800","involved_in","GO:0015986","biological_process","false"
"BSU_36800","enables","GO:0046933","molecular_function","false"
"BSU_36800","located_in","GO:0005886","cellular_component","false"
"BSU_36800","involved_in","GO:1902600","biological_process","false"
"BSU_36800","involved_in","GO:0006811","biological_process","false"
"BSU_36800","enables","GO:0005524","molecular_function","false"
"BSU_36800","involved_in","GO:0006754","biological_process","false"
"BSU_36800","located_in","GO:0016020","cellular_component","false"
"BSU_36800","inferred_from_descendant","GO:0019438","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:1901265","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0008150","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009144","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0098655","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0072522","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0005575","cellular_component","false"
"BSU_36800","inferred_from_descendant","GO:0006753","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0005216","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0032991","cellular_component","false"
"BSU_36800","inferred_from_descendant","GO:0009145","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0034654","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0051234","biological_process","true"
"BSU_36800","inferred_from_descendant","GO:0009259","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0015252","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0044249","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:1901363","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0110165","cellular_component","true"
"BSU_36800","inferred_from_descendant","GO:0006812","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0006725","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0098796","cellular_component","false"
"BSU_36800","inferred_from_descendant","GO:0043167","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0009206","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009205","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:1901576","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0006139","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0006810","biological_process","true"
"BSU_36800","inferred_from_descendant","GO:0097367","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:0044237","biological_process","true"
"BSU_36800","inferred_from_descendant","GO:0003674","molecular_function","false"
"BSU_36800","inferred_from_descendant","GO:1901566","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0006163","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009165","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009141","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0006164","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0098660","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0009987","biological_process","true"
"BSU_36800","inferred_from_descendant","GO:1901293","biological_process","false"
"BSU_36800","inferred_from_descendant","GO:0022857","molecular_function","false"
"BSU_36810","inferred_from_descendant","GO:0098662","biological_process","false"
"BSU_36810","inferred_from_descendant","GO:0009152","biological_process","false"
"BSU_36810","inferred_from_descendant","GO:0009201","biological_process","false"
"BSU_36810","inferred_from_descendant","GO:0098660","biological_process","false"
"BSU_36810","inferred_from_descendant","GO:0003824","molecular_function","false"
"BSU_36810","inferred_from_descendant","GO:0098857","cellular_component","false"
"BSU_36810","inferred_from_descendant","GO:0015078","molecular_function","false"
"BSU_36810","inferred_from_descendant","GO:0098655","biological_process","false"
"BSU_36810","inferred_from_descendant","GO:0044281","biological_process","false"
"BSU_36810","inferred_from_descendant","GO:0015252","molecular_function","false"
